Designator,Mid X,Mid Y,Layer,Rotation
"C15","5.155mm","-15.2505mm","Top",90
"C16","10.1521mm","-9.0155mm","Top",90
"J1","-40.9118mm","-14.8783mm","Top",180
"LED1","15.5003mm","9.3484mm","Top",315
"LED2","18.8067mm","9.3484mm","Top",315
"LED3","22.113mm","9.3484mm","Top",315
"LED4","25.4194mm","9.3484mm","Top",315
"LED5","28.7257mm","9.3484mm","Top",315
"LED6","32.0321mm","9.3484mm","Top",315
"LED7","35.3384mm","9.3484mm","Top",315
"LED8","38.6448mm","9.3484mm","Top",315
"LED9","8.0547mm","-9.7788mm","Top",180
"LED10","19.6332mm","-4.461mm","Top",0
"LED11","31.6655mm","-4.9435mm","Top",0
"LED12","30.9529mm","-10.3753mm","Top",0
"LED13","31.4749mm","-15.4142mm","Top",0
"LED14","28.5963mm","34.0769mm","Top",0
"LED15","30.6382mm","-12.6416mm","Top",0
"LED16","30.0124mm","-7.1052mm","Top",0
"LED17","28.6961mm","-11.7004mm","Top",0
"LED18","17.0234mm","-8.924mm","Top",0
"LED19","31.0991mm","-9.3081mm","Top",0
"LED20","32.5916mm","-9.2234mm","Top",0
"LED21","26.8243mm","26.1327mm","Top",0
"LED22","27.8147mm","22.0879mm","Top",0
"LED23","32.7905mm","30.9348mm","Top",0
"LED24","24.2857mm","25.8013mm","Top",0
"LED25","23.7622mm","27.2437mm","Top",0
"R5","8.0361mm","-8.2735mm","Top",0
"U1","9.6859mm","-15.2734mm","Top",0
